"Final.Status","ID","Year","ACT","GPA","Royal15","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Density","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator","ACT.High","ACT.Low","GPA.High","GPA.Low","Distance.High","Distance.Low"
0,"App ID-75875","2014 Fall",25,3.05,0,127.08,51473,31027,0.915,8e-04,1,0,0,0,0,0,0,0,0,0,0,0,0
0,"App ID-75876","2014 Fall",25,4,0,373.26,41031,7781,0.9388,1e-04,0,0,0,0,0,0,1,0,0,1,0,1,0
1,"App ID-75877","2014 Fall",34,4,0,229.22,65815,13531,0.8924,0.0018,0,1,0,1,0,1,1,1,0,1,0,0,0
1,"App ID-75878","2014 Fall",32,3.98,0,176.95,43330,24959,0.9217,0.0011,0,0,0,0,0,0,0,1,0,1,0,0,0
0,"App ID-75879","2014 Fall",33,3.88,0,176.95,43330,24959,0.9217,0.0011,1,0,0,1,0,0,1,1,0,0,0,0,0
0,"App ID-75880","2014 Fall",27,3.63,0,198.05,71563,873,0.9897,0.0023,0,0,0,1,0,0,1,0,0,0,0,0,0
0,"App ID-75882","2014 Fall",27,3.9,0,238.6,47692,1335,0.9708,0.0065,1,1,0,1,0,0,1,0,0,0,0,0,0
1,"App ID-75883","2014 Fall",36,3.99,0,197.84,44798,9140,0.955,1e-04,1,0,0,1,0,1,1,1,0,1,0,0,0
0,"App ID-75884","2014 Fall",30,3.62,0,113.69,49145,4526,0.9695,0.0022,0,0,0,0,0,1,1,1,0,0,0,0,0
1,"App ID-75885","2014 Fall",24,3.48,0,113.69,49145,4526,0.9695,0.0022,0,0,0,0,0,1,1,0,1,0,0,0,0
0,"App ID-75887","2014 Fall",27,3.38,0,226.07,49517,18431,0.9334,5e-04,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"App ID-75888","2014 Fall",26,3.97,0,246.8,46250,2416,0.9772,0.0025,1,0,0,0,0,0,0,0,0,1,0,0,0
0,"App ID-75889","2014 Fall",32,4,0,369.93,67758,34752,0.8954,0.0011,0,1,0,0,0,0,1,1,0,1,0,1,0
0,"App ID-75891","2014 Fall",31,4,0,230.71,52517,23011,0.889,0.0014,1,0,0,0,0,1,1,1,0,1,0,0,0
0,"App ID-75892","2014 Fall",33,4,0,227.7,56875,8643,0.9017,8e-04,1,0,0,0,0,0,0,1,0,1,0,0,0
1,"App ID-75894","2014 Fall",27,3.97,0,231.03,58061,41763,0.9148,9e-04,0,1,0,1,0,0,0,0,0,1,0,0,0
0,"App ID-75895","2014 Fall",29,3.9,0,229.79,53140,35856,0.8061,0.001,1,0,0,0,0,0,1,0,0,0,0,0,0
0,"App ID-75896","2014 Fall",32,3.76,0,229.79,53140,35856,0.8061,0.001,1,0,0,1,0,0,0,1,0,0,0,0,0
0,"App ID-75897","2014 Fall",34,3.69,0,229.22,65815,13531,0.8924,0.0018,0,0,0,0,0,0,1,1,0,0,0,0,0
1,"App ID-75898","2014 Fall",30,4,0,229.22,65815,13531,0.8924,0.0018,0,1,0,1,0,0,1,1,0,1,0,0,0
0,"App ID-75899","2014 Fall",32,4,0,915.64,99189,9999,0.8119,6e-04,1,0,0,0,0,0,0,1,0,1,0,1,0
0,"App ID-75901","2014 Fall",25,3.9,0,888.45,37131,41491,0.0546,5e-04,0,0,0,1,1,0,1,0,0,0,0,1,0
0,"App ID-75906","2014 Fall",24,3.69,0,850.13,51730,57520,0.8464,0.0031,0,1,0,0,0,0,0,0,1,0,0,1,0
0,"App ID-75912","2014 Fall",25,3.57,0,1196.17,71597,22772,0.8612,5e-04,0,0,0,1,0,1,1,0,0,0,0,1,0
1,"App ID-75916","2014 Fall",21,2.95,0,1194.17,76925,47559,0.8262,6e-04,1,1,0,1,1,0,0,0,1,0,1,1,0
1,"App ID-75917","2014 Fall",20,3.41,0,1189.19,42500,12187,0.4885,1e-04,0,0,0,1,1,0,0,0,1,0,0,1,0
1,"App ID-75918","2014 Fall",22,2.75,0,1203.78,44787,23846,0.6754,3e-04,0,1,0,1,1,0,0,0,1,0,1,1,0
1,"App ID-75919","2014 Fall",23,3.19,0,1210.27,57880,6784,0.7874,5e-04,0,0,0,1,0,0,1,0,1,0,0,1,0
0,"App ID-75920","2014 Fall",22,3.81,0,236.82,51142,8160,0.9664,5e-04,1,0,0,0,0,0,0,0,1,0,0,0,0
0,"App ID-75921","2014 Fall",30,3.85,0,236.82,51142,8160,0.9664,5e-04,1,1,0,0,0,1,1,1,0,0,0,0,0
0,"App ID-75922","2014 Fall",22,3.73,0,440.13,49893,30563,0.8539,1e-04,1,1,0,0,0,0,1,0,1,0,0,1,0
0,"App ID-75923","2014 Fall",21,3.53,0,269.51,43824,1560,0.9404,1e-04,0,0,0,0,0,0,1,0,1,0,0,0,0
0,"App ID-75924","2014 Fall",23,2.99,0,274.07,46058,1354,0.9719,0.0018,0,0,0,1,0,0,0,0,1,0,1,0,0
1,"App ID-75925","2014 Fall",30,3.95,0,357.18,38500,917,0.9782,0.002,1,0,0,0,0,1,1,1,0,1,0,1,0
1,"App ID-75926","2014 Fall",26,3.78,0,291.33,51240,41161,0.9215,7e-04,1,0,0,0,0,1,1,0,0,0,0,0,0
0,"App ID-75927","2014 Fall",27,3.82,0,300.02,59940,3057,0.9634,5e-04,0,0,0,0,0,0,1,0,0,0,0,1,0
1,"App ID-75928","2014 Fall",32,3.43,0,494.54,69830,16866,0.9371,1e-04,0,0,0,0,0,0,1,1,0,0,0,1,0
0,"App ID-75929","2014 Fall",28,3.97,0,498.8,75240,7601,0.9475,8e-04,0,0,0,1,0,1,1,0,0,1,0,1,0
0,"App ID-75930","2014 Fall",26,3.63,0,244.55,70136,3416,0.9859,6e-04,0,0,0,0,0,0,1,0,0,0,0,0,0
0,"App ID-75931","2014 Fall",23,3.79,0,233,82120,31257,0.951,0.0013,1,0,0,0,0,1,1,0,1,0,0,0,0
0,"App ID-75932","2014 Fall",29,3.71,0,233,82120,31257,0.951,0.0013,0,0,0,0,0,1,1,0,0,0,0,0,0
1,"App ID-75933","2014 Fall",23,3.39,0,233,82120,31257,0.951,0.0013,1,0,0,0,0,0,0,0,1,0,0,0,0
0,"App ID-75936","2014 Fall",22,3.19,0,342.25,44443,50298,0.9226,4e-04,0,0,0,0,0,0,0,0,1,0,0,1,0
0,"App ID-75937","2014 Fall",27,3.24,0,351.88,50181,26117,0.9611,1e-04,0,1,0,1,0,0,0,0,0,0,0,1,0
0,"App ID-75938","2014 Fall",25,3.8,0,270,46375,25881,0.9269,9e-04,1,0,0,1,0,1,1,0,0,0,0,0,0
0,"App ID-75939","2014 Fall",29,3.84,0,235.76,61266,16741,0.963,8e-04,0,0,0,0,0,0,1,0,0,0,0,0,0
0,"App ID-75940","2014 Fall",27,3.99,0,438.21,55045,3165,0.964,5e-04,0,0,0,0,0,0,0,0,0,1,0,1,0
0,"App ID-75941","2014 Fall",26,3.93,0,314.11,43833,4765,0.962,1e-04,0,0,0,0,0,1,1,0,0,1,0,1,0
