"Application ID","Award Status","Comprehensive Cost","Total Gift","Total Institutional Gift","Gross Need"
"App ID-75811","Award Complete","41484.00","20000.00","20000.00","16161.00"
"App ID-75209","Award Complete","41484.00","13500.00","13500.00","0.00"
"App ID-75326","Award Complete","41484.00","26274.00","21050.00","40064.00"
"App ID-75090","No Award","41484.00","0.00","","232.00"
"App ID-75341","Award Complete","41484.00","29218.00","20920.00","41607.00"
"App ID-75747","Award Complete","41484.00","17500.00","17500.00","0.00"
"App ID-75198","Award Complete","41484.00","21638.00","16840.00","38852.00"
"App ID-75114","Award Complete","41484.00","40836.00","38230.00","31511.00"
"App ID-75269","Award Complete","41484.00","19000.00","19000.00","0.00"
"App ID-75246","Award Complete","41484.00","7500.00","7500.00","4127.00"
"App ID-75608","Award Complete","41484.00","46774.00","36030.00","42414.00"
"App ID-75465","Award Complete","41484.00","33900.00","33900.00","0.00"
"App ID-75611","Award Complete","41484.00","16500.00","16500.00","16143.00"
"App ID-75814","Award Complete","41484.00","17500.00","17500.00","0.00"
"App ID-75722","Award Complete","41484.00","38570.00","38570.00","41630.00"
"App ID-75926","Award Complete","41484.00","16000.00","16000.00","0.00"
"App ID-75481","Award Complete","41484.00","17020.00","17020.00","22104.00"
"App ID-75362","Award Complete","41484.00","37074.00","27450.00","43855.00"
"App ID-75210","Award Complete","41484.00","41670.00","37730.00","36539.00"
"App ID-75809","Award Complete","41484.00","39500.00","39500.00","28393.00"
"App ID-75727","No Award","41484.00","0.00","","42314.00"
"App ID-75088","Award Complete","41484.00","24290.00","24290.00","32823.00"
"App ID-75897","Award Complete","41484.00","17500.00","17500.00","15705.00"
"App ID-75367","Award Complete","41484.00","20000.00","20000.00","18163.00"
"App ID-75836","Award Complete","41484.00","25260.00","22260.00","37150.00"
"App ID-75080","Award Complete","41484.00","20340.00","20340.00","32816.00"
"App ID-75574","Award Complete","41484.00","14500.00","14500.00","5751.00"
"App ID-75214","Award Complete","41484.00","28228.00","20450.00","40199.00"
"App ID-75458","Award Complete","41484.00","17500.00","17500.00","5310.00"
"App ID-75290","Award Complete","41484.00","19110.00","19110.00","22491.00"
"App ID-78108","Award Complete","41484.00","25998.00","21260.00","43545.00"
"App ID-94664","Award Complete","41484.00","13500.00","13500.00","0.00"
"App ID-191239","Award Complete","43064.00","27330.00","20150.00",""
"App ID-75725","No Award","41484.00","0.00","","43599.00"
"App ID-75930","Award Complete","41484.00","21480.00","21480.00","31602.00"
"App ID-75475","Award Complete","41484.00","28994.00","16500.00","44474.00"
"App ID-75591","No Award","41484.00","0.00","","40034.00"
"App ID-75325","Award Complete","41484.00","16000.00","16000.00","13564.00"
"App ID-75868","Award Complete","41484.00","14500.00","14500.00","0.00"
"App ID-75872","Award Complete","41484.00","17500.00","17500.00","0.00"
"App ID-75265","Award Complete","41484.00","21560.00","21560.00","28775.00"
"App ID-75801","Award Complete","41484.00","10840.00","10840.00","7280.00"
"App ID-75894","Award Complete","41484.00","16500.00","16500.00","0.00"
"App ID-75536","Award Complete","41484.00","16000.00","16000.00","0.00"
"App ID-75274","Award Complete","41484.00","13500.00","13500.00","0.00"
"App ID-75480","Award Complete","41484.00","42310.00","37920.00","37455.00"
"App ID-75862","Award Complete","41484.00","26940.00","26940.00","37940.00"
"App ID-75334","Award Complete","41484.00","13500.00","13500.00","0.00"
"App ID-75339","Award Complete","41484.00","17500.00","17500.00","5952.00"
"App ID-75435","Award Complete","41484.00","29034.00","21920.00","35987.00"
"App ID-75564","Award Complete","41484.00","16500.00","16500.00","2500.00"
"App ID-75092","Award Complete","41484.00","20000.00","20000.00","0.00"
"App ID-81947","Award Complete","41484.00","23896.00","17610.00","16344.00"
"App ID-76895","Award Complete","41484.00","22858.00","17460.00","36719.00"
"App ID-82417","Award Complete","41484.00","24466.00","22600.00","35182.00"
"App ID-76743","Award Complete","41484.00","26268.00","20020.00","39211.00"
"App ID-76713","Award Complete","41484.00","17000.00","17000.00","28623.00"
"App ID-76783","No Award","41484.00","0.00","","37652.00"
"App ID-83734","No Award","41484.00","0.00","","43496.00"
"App ID-76715","Award Complete","41484.00","19140.00","19140.00","23935.00"
