"zip","distance","Median.Income","Total","White","Pct.White","Alumni.Pop","Alumni.Density"
"",NA,NA,NA,NA,NA,4,NA
"02090",NA,128813,14809,13621,0.9198,NA,NA
"02093",NA,99302,11169,11021,0.9867,NA,NA
"02108",NA,99187,4049,3520,0.8694,NA,NA
"02109",NA,104393,3993,3432,0.8595,NA,NA
"02110",NA,115208,1906,1619,0.8494,NA,NA
"02111",NA,50783,7505,3560,0.4744,NA,NA
"02113",NA,69398,7360,6898,0.9372,NA,NA
"02114",NA,86601,12801,9786,0.7645,NA,NA
"02115",NA,27456,29465,20634,0.7003,NA,NA
"02116",NA,93605,22229,17071,0.768,NA,NA
"02118",NA,62208,27534,14727,0.5349,NA,NA
"02119",NA,27159,25734,4110,0.1597,NA,NA
"02120",NA,32828,15073,7510,0.4982,NA,NA
"02121",NA,26530,27459,2054,0.0748,NA,NA
"02122",NA,53576,25613,8657,0.338,NA,NA
"02124",NA,47297,51544,11350,0.2202,NA,NA
"02125",NA,45581,33937,11872,0.3498,NA,NA
"02126",NA,44792,28279,2595,0.0918,NA,NA
"02127",NA,72472,34732,28071,0.8082,NA,NA
"02128",NA,50336,44512,27442,0.6165,NA,NA
"02129",NA,87387,17954,13567,0.7557,NA,NA
"02130",NA,78204,38214,24571,0.643,NA,NA
"02131",NA,63876,31733,18020,0.5679,NA,NA
"02132",NA,86233,28791,24179,0.8398,NA,NA
"02134",NA,38507,18277,12044,0.659,NA,NA
"02135",NA,46858,36486,27219,0.746,NA,NA
"02136",NA,61101,30207,11423,0.3782,NA,NA
"02138",NA,78534,36937,26977,0.7304,NA,NA
"02139",NA,73819,35783,23589,0.6592,NA,NA
"02140",NA,75658,17894,11334,0.6334,NA,NA
"02141",NA,66701,13344,8460,0.634,NA,NA
"02142",NA,104014,3030,1777,0.5865,NA,NA
"02143",NA,67461,25915,20420,0.788,NA,NA
"02144",NA,79435,24539,20074,0.818,NA,NA
"02145",NA,55774,24807,16758,0.6755,NA,NA
"02148",NA,55407,60293,33741,0.5596,NA,NA
"02149",NA,51133,42717,28180,0.6597,NA,NA
"02150",NA,48775,37074,18274,0.4929,NA,NA
"02151",NA,50881,53268,40343,0.7574,NA,NA
"02152",NA,64169,17992,16973,0.9434,NA,NA
"02155",NA,77945,59193,47000,0.794,NA,NA
"02163",NA,48646,2208,1460,0.6612,NA,NA
"02169",NA,60775,55408,37900,0.684,NA,NA
"02170",NA,63201,19318,12305,0.637,NA,NA
"02171",NA,72638,18194,10312,0.5668,NA,NA
"02176",NA,86409,27509,25306,0.9199,NA,NA
"02180",NA,76218,21611,20162,0.933,NA,NA
"02184",NA,87500,36543,30921,0.8462,NA,NA
"02186",NA,113087,27204,21157,0.7777,NA,NA
"02188",NA,70414,14642,12416,0.848,NA,NA
"02189",NA,60537,15128,12730,0.8415,NA,NA
